kind,arm,clock,n_target,shape,quantised,censoring_target,rho,b,check,calibration,variant,alpha,n_replicates,n_used,n_failed,n_failed_tau_only,rejection_rate,mc_se,mean_n_events,mean_n_segments,censoring_realised,mean_n_distinct_durations,mean_induced_lag1,fail_reason
power,D_trp_power_law,in_spec,20,0.75,False,0.0,,0.7,c1_lewis_robinson,asymptotic,,0.05,1000,1000,0,0,0.223,0.01316324428095141,20.578,1.0,0.04634349800722959,20.578,0.0028813592278190358,
power,D_trp_power_law,in_spec,20,0.75,False,0.0,,0.7,c1_lewis_robinson,permutation,,0.05,1000,1000,0,0,0.176,0.012042591083317577,20.578,1.0,0.04634349800722959,20.578,0.0028813592278190358,
power,D_trp_power_law,in_spec,20,0.75,False,0.0,,0.7,c2_anderson_darling,asymptotic,,0.05,1000,1000,0,0,0.262,0.013905250806799567,20.578,1.0,0.04634349800722959,20.578,0.0028813592278190358,
power,D_trp_power_law,in_spec,20,0.75,False,0.0,,0.7,c2_anderson_darling,permutation,,0.05,1000,1000,0,0,0.216,0.013013224043256921,20.578,1.0,0.04634349800722959,20.578,0.0028813592278190358,
power,D_trp_power_law,in_spec,20,0.75,False,0.0,,0.7,c5_rank_autocorr,permutation,studentized,0.05,1000,1000,0,0,0.05,0.006892024376045111,20.578,1.0,0.04634349800722959,20.578,0.0028813592278190358,
power,D_trp_power_law,in_spec,20,0.75,False,0.0,,0.7,c5_rank_autocorr,permutation,unstudentized,0.05,1000,1000,0,0,0.034,0.005730968504537431,20.578,1.0,0.04634349800722959,20.578,0.0028813592278190358,
power,D_trp_power_law,in_spec,20,0.75,False,0.0,,0.7,c6_exchangeability,permutation,,0.05,1000,1000,0,0,0.034,0.005730968504537431,20.578,1.0,0.04634349800722959,20.578,0.0028813592278190358,
power,D_trp_power_law,in_spec,20,0.75,False,0.0,,0.7,cvm_cramer_von_mises,asymptotic,,0.05,1000,1000,0,0,0.19,0.012405643876881199,20.578,1.0,0.04634349800722959,20.578,0.0028813592278190358,
power,D_trp_power_law,in_spec,20,0.75,False,0.0,,0.7,cvm_cramer_von_mises,permutation,,0.05,1000,1000,0,0,0.161,0.011622349160131096,20.578,1.0,0.04634349800722959,20.578,0.0028813592278190358,
power,D_trp_power_law,in_spec,20,0.75,False,0.0,,0.85,c1_lewis_robinson,asymptotic,,0.05,1000,1000,0,0,0.12,0.010276186062932104,20.538,1.0,0.04642956634785031,20.538,-0.04451474212621185,
power,D_trp_power_law,in_spec,20,0.75,False,0.0,,0.85,c1_lewis_robinson,permutation,,0.05,1000,1000,0,0,0.079,0.008529888627643388,20.538,1.0,0.04642956634785031,20.538,-0.04451474212621185,
power,D_trp_power_law,in_spec,20,0.75,False,0.0,,0.85,c2_anderson_darling,asymptotic,,0.05,1000,1000,0,0,0.131,0.010669536072388528,20.538,1.0,0.04642956634785031,20.538,-0.04451474212621185,
power,D_trp_power_law,in_spec,20,0.75,False,0.0,,0.85,c2_anderson_darling,permutation,,0.05,1000,1000,0,0,0.09,0.009049861877399014,20.538,1.0,0.04642956634785031,20.538,-0.04451474212621185,
power,D_trp_power_law,in_spec,20,0.75,False,0.0,,0.85,c5_rank_autocorr,permutation,studentized,0.05,1000,1000,0,0,0.046,0.006624499981130651,20.538,1.0,0.04642956634785031,20.538,-0.04451474212621185,
power,D_trp_power_law,in_spec,20,0.75,False,0.0,,0.85,c5_rank_autocorr,permutation,unstudentized,0.05,1000,1000,0,0,0.048,0.006759881655768835,20.538,1.0,0.04642956634785031,20.538,-0.04451474212621185,
power,D_trp_power_law,in_spec,20,0.75,False,0.0,,0.85,c6_exchangeability,permutation,,0.05,1000,1000,0,0,0.055,0.00720936890441875,20.538,1.0,0.04642956634785031,20.538,-0.04451474212621185,
power,D_trp_power_law,in_spec,20,0.75,False,0.0,,0.85,cvm_cramer_von_mises,asymptotic,,0.05,1000,1000,0,0,0.111,0.00993373041711924,20.538,1.0,0.04642956634785031,20.538,-0.04451474212621185,
power,D_trp_power_law,in_spec,20,0.75,False,0.0,,0.85,cvm_cramer_von_mises,permutation,,0.05,1000,1000,0,0,0.072,0.008174105455644672,20.538,1.0,0.04642956634785031,20.538,-0.04451474212621185,
power,D_trp_power_law,in_spec,20,0.75,False,0.0,,1.2,c1_lewis_robinson,asymptotic,,0.05,1000,1000,0,0,0.079,0.008529888627643388,20.426,1.0,0.04667226733874732,20.426,-0.0629602371900866,
power,D_trp_power_law,in_spec,20,0.75,False,0.0,,1.2,c1_lewis_robinson,permutation,,0.05,1000,1000,0,0,0.077,0.00843036179532053,20.426,1.0,0.04667226733874732,20.426,-0.0629602371900866,
power,D_trp_power_law,in_spec,20,0.75,False,0.0,,1.2,c2_anderson_darling,asymptotic,,0.05,1000,1000,0,0,0.07,0.008068457101577725,20.426,1.0,0.04667226733874732,20.426,-0.0629602371900866,
power,D_trp_power_law,in_spec,20,0.75,False,0.0,,1.2,c2_anderson_darling,permutation,,0.05,1000,1000,0,0,0.07,0.008068457101577725,20.426,1.0,0.04667226733874732,20.426,-0.0629602371900866,
power,D_trp_power_law,in_spec,20,0.75,False,0.0,,1.2,c5_rank_autocorr,permutation,studentized,0.05,1000,1000,0,0,0.043,0.006414904519944158,20.426,1.0,0.04667226733874732,20.426,-0.0629602371900866,
power,D_trp_power_law,in_spec,20,0.75,False,0.0,,1.2,c5_rank_autocorr,permutation,unstudentized,0.05,1000,1000,0,0,0.04,0.0061967733539318665,20.426,1.0,0.04667226733874732,20.426,-0.0629602371900866,
