dataset,threshold,k,frac_reads_unresolved,frac_reads_unknown_error,n_windows,frac_windows_fully_resolved,median_window_purity
040423_6D2S_qubit1,1 µs,0.5,0.001557632398753894,0.0,1,0.0,0.9984423676012462
040423_6D2S_qubit1,2 µs,0.5,0.009345794392523364,0.0,7,0.42857142857142855,0.9965397923875432
040423_6D2S_qubit1,3 µs,0.5,0.14485981308411214,0.0,126,0.6984126984126984,1.0
040423_6D2S_qubit1,4 µs,0.5,0.05451713395638629,0.0,42,0.5952380952380952,1.0
040423_6D2S_qubit1,5 µs,0.5,0.009345794392523364,0.0,3,0.0,0.0
040423_6D2S_qubit1,6 µs,0.5,0.003115264797507788,0.0,1,0.0,0.0
040423_6D2S_qubit1,7 µs,0.5,0.001557632398753894,0.0,1,0.0,0.0
040423_6D2S_qubit1,8 µs,0.5,0.001557632398753894,0.0,1,0.0,0.0
040423_6D2S_qubit1,9 µs,0.5,0.001557632398753894,0.0,1,0.0,0.0
040423_6D2S_qubit1,10 µs,0.5,0.001557632398753894,0.0,0,,
040423_6D2S_qubit1,1 µs,1.0,0.001557632398753894,0.0,1,0.0,0.9984423676012462
040423_6D2S_qubit1,2 µs,1.0,0.014018691588785047,0.0,7,0.42857142857142855,0.9896193771626297
040423_6D2S_qubit1,3 µs,1.0,0.2383177570093458,0.0,126,0.5714285714285714,1.0
040423_6D2S_qubit1,4 µs,1.0,0.11526479750778816,0.0,42,0.3333333333333333,0.0
040423_6D2S_qubit1,5 µs,1.0,0.014018691588785047,0.0,3,0.0,0.0
040423_6D2S_qubit1,6 µs,1.0,0.004672897196261682,0.0,1,0.0,0.0
040423_6D2S_qubit1,7 µs,1.0,0.003115264797507788,0.0,1,0.0,0.0
040423_6D2S_qubit1,8 µs,1.0,0.001557632398753894,0.0,1,0.0,0.0
040423_6D2S_qubit1,9 µs,1.0,0.001557632398753894,0.0,1,0.0,0.0
040423_6D2S_qubit1,10 µs,1.0,0.001557632398753894,0.0,0,,
040423_6D2S_qubit1,1 µs,2.0,0.003115264797507788,0.0,1,0.0,0.9968847352024922
040423_6D2S_qubit1,2 µs,2.0,0.09501557632398754,0.0,7,0.14285714285714285,0.9090909090909091
040423_6D2S_qubit1,3 µs,2.0,0.42834890965732086,0.0,126,0.3253968253968254,0.5625
040423_6D2S_qubit1,4 µs,2.0,0.18847352024922118,0.0,42,0.09523809523809523,0.0
040423_6D2S_qubit1,5 µs,2.0,0.024922118380062305,0.0,3,0.0,0.0
040423_6D2S_qubit1,6 µs,2.0,0.006230529595015576,0.0,1,0.0,0.0
040423_6D2S_qubit1,7 µs,2.0,0.006230529595015576,0.0,1,0.0,0.0
040423_6D2S_qubit1,8 µs,2.0,0.004672897196261682,0.0,1,0.0,0.0
040423_6D2S_qubit1,9 µs,2.0,0.003115264797507788,0.0,1,0.0,0.0
040423_6D2S_qubit1,10 µs,2.0,0.001557632398753894,0.0,0,,
050423_6D2S_qubit1,1 µs,0.5,0.0,0.0,1,1.0,1.0
050423_6D2S_qubit1,2 µs,0.5,0.0,0.0,1,1.0,1.0
050423_6D2S_qubit1,3 µs,0.5,0.09169550173010381,0.0,24,0.375,0.9465811965811965
050423_6D2S_qubit1,4 µs,0.5,0.031141868512110725,0.0,4,0.25,0.0
050423_6D2S_qubit1,5 µs,0.5,0.0,0.0,0,,
050423_6D2S_qubit1,6 µs,0.5,0.0,0.0,0,,
050423_6D2S_qubit1,7 µs,0.5,0.0,0.0,0,,
050423_6D2S_qubit1,8 µs,0.5,0.0,0.0,0,,
050423_6D2S_qubit1,9 µs,0.5,0.0,0.0,0,,
050423_6D2S_qubit1,10 µs,0.5,0.0,0.0,0,,
050423_6D2S_qubit1,1 µs,1.0,0.0,0.0,1,1.0,1.0
050423_6D2S_qubit1,2 µs,1.0,0.0,0.0,1,1.0,1.0
050423_6D2S_qubit1,3 µs,1.0,0.21972318339100347,0.0,24,0.16666666666666666,0.8284313725490196
050423_6D2S_qubit1,4 µs,1.0,0.06920415224913495,0.0,4,0.25,0.0
050423_6D2S_qubit1,5 µs,1.0,0.0017301038062283738,0.0,0,,
050423_6D2S_qubit1,6 µs,1.0,0.0,0.0,0,,
050423_6D2S_qubit1,7 µs,1.0,0.0,0.0,0,,
