n,y_levels,tie_fraction_y,tie_fraction_x,xi_mean,p_closed_mean,p_perm_mean,p_signed_diff_mean,p_signed_diff_se,p_abs_diff_mean,p_abs_diff_p90,type_i_closed,type_i_perm,tie_fraction_x_q2,xi_tie_break_sd,xi_tie_break_range,xi_deterministic_percentile
35,0,0.0,0.0,-0.0074591503267973855,0.5181526106198681,0.5207633333333332,-0.0026107227134653057,0.0008362277849363762,0.011966841480692495,0.024006431379469683,0.02666666666666667,0.03666666666666667,0.0,1.1102230246251565e-16,0.0,100.0
35,20,0.8271428571428571,0.0,-0.0018268380183807601,0.5058797109243475,0.5069633333333333,-0.001083622408985799,0.0007354286288703243,0.010117546231869974,0.020946306544987314,0.043333333333333335,0.04666666666666667,0.8,0.045552539526950826,0.26055301047120427,82.0
35,10,0.9517142857142857,0.0,0.003365207947653688,0.4940519975916295,0.49529666666666666,-0.0012446690750371866,0.0008410648312998579,0.011131396335586106,0.02531934790877989,0.056666666666666664,0.05333333333333334,0.9142857142857143,0.05938595594761158,0.3384590995561192,70.5
35,5,0.9941904761904762,0.0,-0.010184336658836512,0.5328011473213583,0.5347633333333333,-0.0019621860119749274,0.00130133342255584,0.0179717271146099,0.037361944122652924,0.06333333333333334,0.04,0.9714285714285714,0.17186118337071882,0.646551724137931,87.0
35,3,0.9993333333333334,0.0,-0.007816160744039884,0.5240979069206323,0.5356933333333334,-0.011595426412700983,0.0028371477321489417,0.04071926911394544,0.08092131059052861,0.10333333333333333,0.05,1.0,0.15200708783716751,0.8031400966183574,2.0
35,2,1.0,0.0,0.010738379310303909,0.48697521465851046,0.5421600000000001,-0.05518478534148953,0.0045808674919108885,0.08020135709191703,0.16234921408819084,0.16333333333333333,0.043333333333333335,1.0,0.15441176470588233,0.5147058823529411,90.0
75,0,0.0,0.0,0.00304054054054054,0.4895686103717385,0.49002333333333337,-0.0004547229615948405,0.0007704552224890357,0.010457427044233726,0.02273170432226517,0.04666666666666667,0.04666666666666667,0.0,1.1102230246251565e-16,0.0,100.0
75,20,0.9527111111111111,0.0,-0.004061799031821687,0.5218003567250048,0.5215799999999998,0.00022035672500479568,0.0007173006192813729,0.009662822489683738,0.019769984622638206,0.03333333333333333,0.04,0.96,0.04643166201569152,0.26806465244031275,51.0
75,10,0.9876444444444443,0.0,0.00440247757477804,0.47831342956870676,0.4783566666666667,-4.323709795986138e-05,0.0008912527522192375,0.012231667696798641,0.025108745786085514,0.04666666666666667,0.03666666666666667,0.9866666666666667,0.04547387694068921,0.23771893460462223,23.5
75,5,0.9988888888888887,0.0,-0.009821228794312681,0.5404706644671528,0.5398199999999999,0.0006506644671526896,0.0013974000604069173,0.01957025874971085,0.0388416263141513,0.06333333333333334,0.05,1.0,0.04766733272962817,0.22718332022029897,88.5
75,3,0.9999555555555556,0.0,-0.0057673747317619605,0.5235183295225323,0.5267200000000001,-0.003201670477467726,0.0028310469346906554,0.04018883561523298,0.0784710783316516,0.08666666666666667,0.03333333333333333,1.0,0.10414806220785178,0.5538199375177507,15.5
75,2,1.0,0.0,0.000501472569177707,0.4985686189036007,0.5344633333333333,-0.0358947144297327,0.004807176283442634,0.07909786211494473,0.14128016961479276,0.14666666666666667,0.03,1.0,0.10156324265860267,0.5514705882352942,51.0
150,0,0.0,0.0,-0.0013969509755989132,0.5118064255153495,0.5107566666666666,0.0010497588486828252,0.0007176721419078673,0.00967592448405174,0.020968044309186303,0.04666666666666667,0.05,0.0,0.0,0.0,100.0
150,20,0.9845555555555556,0.0,-0.0028421212869305036,0.5138289595353933,0.5139699999999999,-0.00014104046460661505,0.0007626142078587939,0.010011022419200962,0.020810474469586185,0.04,0.04,0.98,0.03505948228874025,0.19769945641069397,75.0
150,10,0.9965555555555554,0.0,-0.005900852884742937,0.5316404858837418,0.5310400000000001,0.000600485883741826,0.0008174087162618433,0.011054395937559499,0.02308579756134689,0.04666666666666667,0.04,1.0,0.031338502915689743,0.1776730196786871,75.5
150,5,0.9997555555555554,0.0,-0.0006348718383102573,0.4985269702178636,0.49799999999999994,0.0005269702178635911,0.0015477311367018485,0.022531826412313397,0.042054776864926605,0.07333333333333333,0.05,1.0,0.04812775047817867,0.26676658762471483,89.5
150,3,1.0,0.0,-0.0021243092328480265,0.5048302183001706,0.50614,-0.0013097816998292864,0.0029661693677776936,0.04278196502163442,0.08108119771971978,0.07666666666666666,0.03666666666666667,1.0,0.07853852544488514,0.41856138900372053,90.0
150,2,1.0,0.0,0.004275460882122012,0.48901364122454644,0.5151366666666666,-0.026123025442120213,0.0046253249227111645,0.0745636781155683,0.12804668965770047,0.17333333333333334,0.04666666666666667,1.0,0.07350838807607649,0.24525833878351855,80.5
355,0,0.0,0.0,0.0019562940392306213,0.4832974912692681,0.4833366666666667,-3.9175397398604045e-05,0.000721284203784108,0.00948316061493836,0.019461902924328558,0.06333333333333334,0.06333333333333334,0.0,1.1102230246251565e-16,0.0,100.0
355,20,0.9956150234741784,0.0,0.0015122854394867317,0.48981149991536305,0.48967000000000005,0.00014149991536299786,0.0007192590270055861,0.00974394252779797,0.020588360084764466,0.05333333333333334,0.043333333333333335,0.9943661971830986,0.019164073777761904,0.10699591634535932,48.0
355,10,0.9990046948356806,0.0,0.0020988076908890017,0.4858591582423054,0.4862166666666667,-0.00035750842436120707,0.0008932016974413139,0.011851471793140268,0.025039555732384366,0.06333333333333334,0.056666666666666664,1.0,0.02653539890117429,0.1555245859996729,28.000000000000004
355,5,0.999962441314554,0.0,0.003286273391622048,0.47066183521302807,0.47193,-0.0012681647869719347,0.001728043710716216,0.025749448354049798,0.0464488658771155,0.08666666666666667,0.03333333333333333,1.0,0.04649144567365889,0.2989339671400293,81.0
355,3,1.0,0.0,-0.0012290964402249815,0.5097321105665965,0.5082933333333334,0.0014387772332631484,0.0030027862476968473,0.04487008783084113,0.08272967739286492,0.08666666666666667,0.03666666666666667,1.0,0.09340885536022,0.41694071220520523,45.5
355,2,1.0,0.0,0.0009175310005244345,0.48280420693354253,0.5031,-0.02029579306645738,0.004727492631351236,0.07623994462379984,0.12108805165484321,0.14,0.023333333333333334,1.0,0.04596952491681346,0.2280025690430314,81.5
