case,i,x,y
xi_tie_free,1,-0.326036490515386,0.0283591607957465
xi_tie_free,2,0.552461855419139,-0.118137811403848
xi_tie_free,3,-0.67494384395583,0.263141926269379
xi_tie_free,4,0.214359459043425,0.0796872304271244
xi_tie_free,5,0.310769217313602,0.223358805771278
xi_tie_free,6,1.1739662875627,1.49424743169845
xi_tie_free,7,0.618789855625968,0.176561387601001
xi_tie_free,8,-0.112734314754215,0.0573797723220037
xi_tie_free,9,0.917028289512712,0.823645959221862
xi_tie_free,10,-0.223259364627263,0.0273977344170541
xi_tie_free,11,0.526448098873642,0.730116832243306
xi_tie_free,12,-0.794844435415055,1.11775877889225
xi_tie_free,13,1.42775554468304,2.38443334546859
xi_tie_free,14,-1.46681969416347,2.12827893655121
xi_tie_free,15,-0.236683378602896,-0.48966132853251
xi_tie_free,16,-0.1933379649975,-0.273853806111445
xi_tie_free,17,-0.849754740333862,0.812830792412989
xi_tie_free,18,0.0584654978495017,-0.379965635735128
xi_tie_free,19,-0.817670355875958,0.710086525153808
xi_tie_free,20,-2.05030781563963,4.18846690174464
xi_tie_free,21,-0.163755665941423,0.582460190606987
xi_tie_free,22,0.708522104156376,0.835506152939526
xi_tie_free,23,-0.267980546181617,-0.081599023397954
xi_tie_free,24,-1.46392175987102,1.97990258787868
xi_tie_free,25,0.744435822875318,0.0355065092895668
xi_tie_free,26,-1.4103901810052,2.13042532436126
xi_tie_free,27,0.467067606015246,0.219768285240347
xi_tie_free,28,-0.119320107694245,0.418651023765992
xi_tie_free,29,0.467238961765515,0.435541261381528
xi_tie_free,30,0.498135564435914,0.713903789954665
xi_tie_free,31,0.894937200540396,1.19855354242775
xi_tie_free,32,0.279151996413743,0.0676463093538191
xi_tie_free,33,1.00786575031424,0.90748935135915
xi_tie_free,34,-2.07310649057379,4.08172089456667
xi_tie_free,35,1.18985338378285,1.50035555490974
xi_tie_free,36,-0.724374218369974,0.287560309169975
xi_tie_free,37,0.167983772348879,-0.105252817446043
xi_tie_free,38,0.920335158580844,1.25651475493364
xi_tie_free,39,-1.67160481202292,2.94349894906664
