case,quantity,value
meta,r_major,4
meta,r_minor,5
meta,XICOR_major,0
meta,XICOR_minor,4
meta,energy_major,1
meta,energy_minor,7
meta,randtests_major,1
meta,randtests_minor,0
meta,copula_major,1
meta,copula_minor,1
xi_tie_free,xicor,0.591553209224785
xi_tie_free,xicor_ties_false,0.591553209224785
xi_tie_free,spearman,-0.182606279522089
xi_tie_free,dcor,0.651551775331969
xi_tied,xicor_draws_n,2000
xi_tied,xicor_mean,0.482502795859261
xi_tied,xicor_sd,0.0429310725403072
xi_tied,xicor_q001,0.356522237834428
xi_tied,xicor_q01,0.38921228457546
xi_tied,xicor_q99,0.592234680125025
xi_tied,xicor_q999,0.5991167952284
xi_tied,xicor_min,0.356522237834428
xi_tied,xicor_max,0.628365784417744
xi_tied,xicor_ties_on_x,31
xi_tied,xicor_ties_on_y,54
xi_tied,spearman,0.839884503746692
xi_tied,dcor,0.798406748471406
xi_tied_y_only,xicor,0.00970475669764881
xi_tied_y_only,xicor_distinct_draws,1
xi_tied_y_only,xicor_ties_on_x,0
xi_tied_y_only,spearman,0.524753662123038
dcor_nonmonotone,dcor,0.505104972849102
dcor_nonmonotone,spearman,-0.383721488595438
dcor_nonmonotone,xicor,0.662665066026411
durations_iid,lag1_rank_autocorr,0.0626541124358367
durations_iid,bartels_statistic,-0.594023198772439
durations_iid,bartels_p_value,0.552496596797857
durations_trend,lag1_rank_autocorr,0.0842423213055855
durations_trend,bartels_statistic,-1.05054102745866
durations_trend,bartels_p_value,0.293469438303224
durations_iid,serial_indep_global_statistic,0.00739025142047825
durations_iid,serial_indep_global_p_value,0.791708291708292
durations_iid,serial_indep_sim_seed,707
durations_iid,serial_indep_N,1000
durations_iid,serial_indep_lag_max,5
