timestamp,frequency,T2star,T2star error
0,5.00000286e+09,4.55308182e-05,1.5e-06
60,4.99999849e+09,4.50890987e-05,1.5e-06
120,5.00000366e+09,3.59503222e-05,1.74298067e-06
180,5.00000021e+09,4.09940903e-05,1.5e-06
240,4.99999626e+09,4.18724129e-05,1.5e-06
300,5.0000032e+09,3.57958743e-05,1.75224754e-06
360,5.00000654e+09,4.14321605e-05,1.5e-06
420,5.00000268e+09,4.27740033e-05,1.5e-06
480,5.00000348e+09,4.08876877e-05,1.5e-06
540,5.00000146e+09,3.84073886e-05,1.59555668e-06
600,5.00000662e+09,3.87309386e-05,1.57614368e-06
660,4.99999911e+09,3.6583071e-05,1.70501574e-06
720,4.9999988e+09,3.57110565e-05,1.75733661e-06
780,5.00000144e+09,4.7355111e-05,1.5e-06
840,5.00000989e+09,3.29205017e-05,1.9247699e-06
900,5.00000682e+09,4.16316835e-05,1.5e-06
960,5.00000508e+09,4.48303078e-05,1.5e-06
1020,4.99999619e+09,3.73199632e-05,1.66080221e-06
1080,5.00000746e+09,3.06183253e-05,2.06290048e-06
1140,5.00000215e+09,3.58484233e-05,1.7490946e-06
1200,4.99999874e+09,4.46413614e-05,1.5e-06
1260,5.00000663e+09,4.1791314e-05,1.5e-06
1320,5.00000689e+09,3.94282215e-05,1.53430671e-06
1380,5.00000789e+09,3.79150157e-05,1.62509906e-06
1440,5.00000482e+09,4.02342911e-05,1.5e-06
1500,5.00000706e+09,4.11660325e-05,1.5e-06
1560,5.0000051e+09,3.8067604e-05,1.61594376e-06
1620,5.00000274e+09,3.62308804e-05,1.72614718e-06
1680,5.00001369e+09,3.94151975e-05,1.53508815e-06
1740,5.00000424e+09,3.58639836e-05,1.74816099e-06
1800,5.00000274e+09,4.18401397e-05,1.5e-06
1860,5.00000978e+09,3.36202774e-05,1.88278335e-06
1920,5.00000248e+09,4.05331456e-05,1.5e-06
1980,5.0000173e+09,4.03779285e-05,1.5e-06
2040,5.0000086e+09,3.47183631e-05,1.81689821e-06
2100,5.00000567e+09,3.57946323e-05,1.75232206e-06
2160,5.00001006e+09,4.08602616e-05,1.5e-06
2220,5.00001106e+09,4.0797584e-05,1.5e-06
2280,5.00001306e+09,4.63673327e-05,1.5e-06
2340,5.00000543e+09,3.42471288e-05,1.84517227e-06
2400,5.00000974e+09,4.31754661e-05,1.5e-06
2460,5.00001991e+09,3.16945629e-05,1.99832622e-06
2520,5.00001091e+09,3.70021599e-05,1.67987041e-06
2580,5.00001936e+09,4.55159342e-05,1.5e-06
